id,name,time,location,host,url
"311069035","Let's have a Fun Picnic in Sheep Meadows!!! 🍎🍉🍇🥝🍏🥭","Sat, Sep 27 · 1:00 PM EDT","NYC","Sat, Sep 27 · 1:00 PM EDT","https://www.meetup.com/socially-awkward-but-im-trying/events/311069035/?recId=6bfaa386-ae68-497d-a103-fa8b941a70f4&recSource=ml-popular-events-nearby-offline&searchId=6f1eba82-0a93-4f98-af71-4793645e2159&eventOrigin=find_page%24all"
"308156518","Brunch Social: Make New Friends","Sun, Sep 21 · 12:30 PM EDT","NYC","Sun, Sep 21 · 12:30 PM EDT","https://www.meetup.com/nyc-sunday-social/events/308156518/?recId=6bfaa386-ae68-497d-a103-fa8b941a70f4&recSource=ml-popular-events-nearby-offline&searchId=6f1eba82-0a93-4f98-af71-4793645e2159&eventOrigin=find_page%24all"
"310894709","Astoria Tech Meetup #47 @ Our House Queens","Wed, Sep 24 · 6:30 PM EDT","NYC","Wed, Sep 24 · 6:30 PM EDT","https://www.meetup.com/astoria-tech-meetup/events/310894709/?recId=6bfaa386-ae68-497d-a103-fa8b941a70f4&recSource=ml-popular-events-nearby-offline&searchId=6f1eba82-0a93-4f98-af71-4793645e2159&eventOrigin=find_page%24all"
"309327118","Breakup Support & Empowerment Circle","Every two weeks on Tue","NYC","Every two weeks on Tue • Sep 23 · 1:00 PM EDT","https://www.meetup.com/breakup-and-divorce-support/events/309327118/?recId=6bfaa386-ae68-497d-a103-fa8b941a70f4&recSource=ml-popular-events-nearby-online&searchId=6f1eba82-0a93-4f98-af71-4793645e2159&eventOrigin=find_page%24all"
"310815230","Navratri / Garba Festival @ India Square, Jersey City w/Veg*n Dinner","Fri, Sep 26 · 7:00 PM EDT","NYC","Fri, Sep 26 · 7:00 PM EDT","https://www.meetup.com/vegetarian-nyc/events/310815230/?recId=6bfaa386-ae68-497d-a103-fa8b941a70f4&recSource=ml-popular-events-nearby-offline&searchId=6f1eba82-0a93-4f98-af71-4793645e2159&eventOrigin=find_page%24all"
"310682410","Fort Tryon Sketch & Book Event!","Sat, Oct 18 · 1:00 PM EDT","NYC","Sat, Oct 18 · 1:00 PM EDT","https://www.meetup.com/sketching/events/310682410/?recId=6bfaa386-ae68-497d-a103-fa8b941a70f4&recSource=ml-popular-events-nearby-offline&searchId=6f1eba82-0a93-4f98-af71-4793645e2159&eventOrigin=find_page%24all"
"311095399","🗲 Talk Night at Datadog! 🗲","Wed, Oct 1 · 6:00 PM EDT","NYC","Wed, Oct 1 · 6:00 PM EDT","https://www.meetup.com/nycpython/events/311095399/?recId=6bfaa386-ae68-497d-a103-fa8b941a70f4&recSource=ml-popular-events-nearby-offline&searchId=6f1eba82-0a93-4f98-af71-4793645e2159&eventOrigin=find_page%24all"
"310979076","Candle - Gourmet Vegan near Murray Hill (Kips Bay / Rose Hill)","Mon, Sep 29 · 7:00 PM EDT","NYC","Mon, Sep 29 · 7:00 PM EDT","https://www.meetup.com/vegetarian-nyc/events/310979076/?recId=6bfaa386-ae68-497d-a103-fa8b941a70f4&recSource=ml-popular-events-nearby-offline&searchId=6f1eba82-0a93-4f98-af71-4793645e2159&eventOrigin=find_page%24all"
"310650402",""The Awkward Person's Guide to Not Being Awkward" Free Drop-In Improv","Wed, Oct 15 · 6:00 PM EDT","NYC","Wed, Oct 15 · 6:00 PM EDT","https://www.meetup.com/901-innovation-improv-nyc/events/310650402/?recId=6bfaa386-ae68-497d-a103-fa8b941a70f4&recSource=ml-popular-events-nearby-offline&searchId=6f1eba82-0a93-4f98-af71-4793645e2159&eventOrigin=find_page%24all"
"308631821","🧠 NYC Philosophy & Psychology Readers Conference 2025 (#NYCPPRC2025)","Sat, Sep 27 · 10:00 AM EDT","NYC","Sat, Sep 27 · 10:00 AM EDT","https://www.meetup.com/reading-philosophy/events/308631821/?recId=6bfaa386-ae68-497d-a103-fa8b941a70f4&recSource=ml-popular-events-nearby-offline&searchId=6f1eba82-0a93-4f98-af71-4793645e2159&eventOrigin=find_page%24all"
"311056327","Signal vs. Noise: Understanding the Labor Markets When the Data Gets Murky","Tue, Oct 14 · 6:00 PM EDT","NYC","Tue, Oct 14 · 6:00 PM EDT","https://www.meetup.com/hranalyticspros/events/311056327/?recId=6bfaa386-ae68-497d-a103-fa8b941a70f4&recSource=ml-popular-events-nearby-offline&searchId=6f1eba82-0a93-4f98-af71-4793645e2159&eventOrigin=find_page%24all"
"310448810","No-Code Agentic Development","Wed, Oct 1 · 7:00 PM EDT","NYC","Wed, Oct 1 · 7:00 PM EDT","https://www.meetup.com/artificial-intelligence-nyc/events/310448810/?recId=1eed24ac-09e1-4916-aa69-8c4d5e0fcd35&recSource=ml-popular-events-nearby-offline&searchId=6f1eba82-0a93-4f98-af71-4793645e2159&eventOrigin=find_page%24all"
"310016503","Kant's Critique of Pure Reason","Sat, Sep 27 · 11:30 AM EDT","NYC","Sat, Sep 27 · 11:30 AM EDT","https://www.meetup.com/reading-philosophy/events/310016503/?recId=1eed24ac-09e1-4916-aa69-8c4d5e0fcd35&recSource=ml-popular-events-nearby-offline&searchId=6f1eba82-0a93-4f98-af71-4793645e2159&eventOrigin=find_page%24all"
"310779100","Software Social & Talk on How Containers Stay Contained","Thu, Sep 25 · 6:30 PM EDT","NYC","Thu, Sep 25 · 6:30 PM EDT","https://www.meetup.com/sonarqube-nyc/events/310779100/?recId=1eed24ac-09e1-4916-aa69-8c4d5e0fcd35&recSource=ml-popular-events-nearby-offline&searchId=6f1eba82-0a93-4f98-af71-4793645e2159&eventOrigin=find_page%24all"
